pathway	NGS001-23_16S_41	NGS001-23_16S_42	NGS001-23_16S_43	NGS001-23_16S_44	NGS001-23_16S_47	NGS001-23_16S_48	NGS069-23_16S_29	NGS069-23_16S_30	NGS069-23_16S_31	NGS069-23_16S_32	NGS069-23_16S_35	NGS069-23_16S_36	NGS069-24-16S-1	NGS069-24-16S-2	NGS069-24-16S-3	NGS069-24-16S-4	NGS069-24-16S-5	NGS069-24-16S-6	NGS069-24-16S-7	NGS069-24-16S-8	NGS069-24-16S-9
PWY-6906	127.88566439917211	0.0	110.5325556253688	88.48597872197251	0.0	61.03470704510935	0.0	0.0	0.0	0.0	156.48923852634698	71.66095742764514	36.97308560597728	0.0	48.682827723840084	0.0	7.443704581440986	84.14560821553833	0.0	51.38478531717252	100.04142803816498
PWY-6919	0.0	29.38264898546094	0.0	82.29594252919692	0.0	0.0	0.0	0.0	10.816373499917804	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6942	0.0	0.0	0.0	0.0	0.0	0.0	3.856681787938388	2.4381401419050968	0.0	0.0	0.0	10.373000731146774	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6944	691.4329083210794	579.7132897947935	525.8005436867575	271.5386608520018	929.6915421276378	616.4386204632511	0.0	331.19727246068635	604.2087085834174	528.4348883413787	577.000290109417	1175.1222501870716	961.3843394617478	738.4551948094866	319.1900736102722	653.4157642071339	497.01843074220733	944.4131232840517	485.10695326638177	952.1743511401928	682.0602658560772
PWY-6948	580.7451648664852	454.73800116981874	540.3109922353469	188.70554175945952	709.7550944270452	671.8833452278622	151.35612628605526	511.0569894866517	506.1849650409345	456.0135255832292	457.4102112356872	668.7261171174816	1119.4367627232918	762.5339755664385	708.8786443386006	589.3619890717366	440.2272575588823	733.2184208397655	485.20759645672763	893.6422150007473	805.9195045006511
PWY-6957	985.5219142699069	478.3936518691445	353.8690688179235	502.77776704460575	567.7083292935528	875.9636345946142	126.34660718006732	0.0	479.535078539696	556.2411011749487	844.0953209554633	1379.8786222104527	954.084917263297	707.8495700944823	541.5993706563179	196.10991750534237	297.35814342625076	681.3281414391631	380.5974827872822	724.4410679389797	736.2036181659017
PWY-6969	77215.50890990393	77724.84255488463	66424.46667289038	66412.09056413153	78318.26501960802	75254.89089836579	13368.774342851273	37024.842722657384	50680.69411300036	60905.31469149164	62897.33825755168	74712.09535835509	97097.9047591634	70365.7162760724	55914.99105139788	56607.03661219276	46254.747318195805	80975.87224229332	46007.93924745125	95350.80473583694	95002.77291165134
PWY-6975	0.0	0.0	0.0	0.0	0.0	0.0	2.307692307692308	1.9375672766415504	0.0	0.0	0.0	4.639175257731959	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6977	0.0	0.0	0.0	0.0	0.0	0.0	2.955076240532023	2.1819129315648307	0.0	0.0	0.0	6.641699938621501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6992	1808.6527650009846	1694.6887918197701	895.7185155535785	1537.0382751643724	1847.1790701957807	1896.5092805751667	440.5119563270036	1206.3313650987432	1679.765451537111	1636.5354421606676	1967.2589901726637	2975.4478100100696	2546.133547151675	1979.311196228153	1431.1299582842962	1629.0076687799349	1389.8051381562022	2392.7196227088048	1045.839736339458	2257.687352166859	2201.0453118965834
PWY-6993	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.9994380267997	0.0	32.723159640245186	27.688644239381738	0.0	9.572141275576142	0.0	0.0	0.0	0.0
PWY-7002	0.0	0.0	0.0	15.742683763347088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-7003	2371.844673842131	1638.5884787438822	4158.330014929456	4460.757900614578	894.3957777339875	2563.7039061994556	416.8290227367055	766.227385874388	1703.8775944541787	2429.825468457215	1043.344900685246	2785.480104273498	3517.042048055712	2322.1315970230253	2065.6816497674663	2890.1999287536446	1956.4480285596105	4580.605805411109	1847.2235456681774	4046.2805502271835	3984.5398810342244
PWY-7007	9372.180891523343	8941.628316631502	7892.739105361707	8955.03523809141	11027.195975598985	10609.6399223139	2707.578546046375	4443.287047627349	8225.575808689811	7792.321843950445	14147.333316040955	14954.63047884532	10084.720302326088	7590.02214407412	6803.683335536609	6229.07095341783	5211.1180678150595	8697.64473108572	5605.306613371959	10490.884132487452	11272.947722373128
PWY-7013	812.238925085238	494.82655655547137	907.9880042995592	577.1972369734142	774.6771439917349	796.360819844487	389.61408619415124	376.82423476596364	841.8318924555621	528.5281551501575	1098.2754591478963	1832.3648229207865	918.9909155158764	751.3988065661136	447.80680485280556	700.807375519452	524.5414762090749	1480.5089136811068	406.4438704529732	719.7783304777852	1064.5028249175505
PWY-7024	234.7289790420395	86.82566335374356	98.79593083274749	159.4246258645311	69.92094518247691	31.202429132202063	0.0	0.0	106.71894515366485	233.38877415531158	142.4173734241067	482.4384430890785	288.1369456341078	164.12483698706666	150.38256700063567	191.32806633549401	34.50922286220711	102.19784753496974	116.67459362235012	303.2358525005867	370.0400372661287
PWY-7046	215.80234660525082	320.01202072815715	116.08889346184137	107.84838324618705	289.6316320427689	229.19249694388668	16.538226056370394	131.37942279180194	217.3273023776178	239.16811387298438	328.5194561966298	364.0493034043261	376.7986851055529	264.130489366369	218.84838036533517	118.2520199531892	109.1218584716852	225.10468826922164	172.46711864266746	280.48589496275855	312.3055568437177
PWY-7084	49.99819917691836	0.0	0.0	93.66556696456759	1.476611203627671	22.716854979185033	0.0	0.0	20.06270575348667	44.948986947931076	0.0	41.60555067942365	48.50622204868017	18.707311707242678	0.0	23.00026448480031	0.0	0.0	0.0	126.57712342396503	133.67784609791292
PWY-7090	1786.014969087278	1850.3571772914568	1617.8496108487573	2749.763125868245	1752.8275857608799	2272.2787204453916	150.68396900057073	663.7542591614931	790.7100787689808	1402.8749816358238	1366.971656343286	1793.483452046465	4343.604982000892	2943.5516422423307	2374.261282138662	2022.6586749704395	1670.0379021009576	3048.3438595179837	1508.2501310339308	3585.797715538234	3584.624565002766
PWY-7094	77299.14783569388	72949.91332638307	64124.54981458596	58992.26726892428	79271.85345573962	75649.50515204495	14337.653419317616	35515.53808378304	50347.875961165	59017.58933835005	69514.48626415408	78352.74106479339	90368.9594466828	66551.39159179779	52906.940513740556	53712.83415311303	44579.29130748599	76980.9881725865	45482.66845982722	93461.77452707502	93665.75916907999
PWY-7097	901.61231014132	422.7931067311826	365.07042595234	269.87030035757056	481.65959077053026	659.4362476432107	0.0	123.22008738304936	456.68143944623034	569.5413138333471	528.670555346374	1524.9370253908423	1167.4427144848469	707.0134648068331	626.9590206475564	570.2355836397303	288.9331589644532	718.1045185653262	259.95046907100846	863.2894484947263	633.6008945338028
PWY-7098	993.4307900655677	469.23261471566093	405.27564339367734	299.24758643535955	533.0433236195155	731.272014955167	0.0	137.45568670993535	504.4236234949378	626.2744350197895	583.4345402365733	1658.3875419378621	1277.4382851806145	777.7284272064531	688.5021498575877	624.6956522619502	318.80735886999065	788.8260056091265	287.5508934126055	947.8344003861774	700.4128827585866
PWY-7106	0.0	0.0	0.0	0.0	0.0	0.0	2.4000000000000004	1.8000000000000003	0.0	0.0	0.0	4.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-7110	0.0	0.0	0.0	0.0	0.0	0.0	2.9550762405320232	2.0561589092914914	0.0	0.0	0.0	6.3437861327820215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-7111	104213.46960754873	100100.08215962756	89100.58840390091	82363.31614229798	103552.12857295686	100741.67314397304	18171.54677154644	49547.59988209174	70645.0296604724	81760.69826785101	87759.05253971057	105486.06976120167	126070.51138044143	91779.28189317514	73686.95205346892	74901.2203636471	61769.7249156333	107122.39969374078	61584.71779913013	126184.33097031695	126038.23779894854
PWY-7159	1744.4640587429046	1154.6527461043434	2047.8390675006906	703.6517292687956	1208.0249839844687	1813.868709124976	211.9984656633902	490.66803882684377	1364.1873793341567	2034.148864391615	1671.5248710527933	3085.186831429818	1884.2282963125608	1355.3195687944549	1143.4889394327433	1236.610048173861	656.255374066397	1389.7511749251273	1337.6094099758407	2974.334821985975	2962.0408814240723
PWY-7184	48303.47911768333	46003.726086013856	41446.28691364959	41871.78736553993	46590.910620268376	48671.58646622504	8636.487256895904	21984.262645376653	31365.838594086235	37731.272410679325	38261.72463212958	49396.785211415525	63620.77892999857	45798.03132246255	36324.73588533476	36691.02795466275	29621.997745754365	52634.363555607284	28890.01062061665	60317.24569319675	59798.20705757696
PWY-7187	16501.950183827114	12873.412144353892	21629.91429368569	19789.338451459396	9421.270936039335	14261.542920560383	3498.7853749636147	6918.705747525633	10166.910570550639	11477.870642088086	8847.548373061489	10438.47126574137	21448.2961937686	14737.30604848036	12713.209038089453	16298.02105859311	12408.755276564147	23778.928095360894	8509.628641605734	18661.635301960483	19182.209812878296
PWY-7196	45028.609210556744	44799.29500267616	40517.737736234	43565.51120343371	44355.78291208336	44364.4368611756	8434.580894615492	20643.637256041282	28913.241908895987	33805.5000875206	34085.67266763804	40816.718946712885	58032.135556470195	41844.75064979597	33144.486950318016	34002.45980019658	27160.437145099102	48933.80775311964	25220.907038010682	52743.89370127313	52875.85095367572
PWY-7197	56553.24375067151	57919.778552484226	48981.94927406519	49776.44305901337	57798.89303315534	55279.00805565452	9715.00210326633	27772.912705631734	37402.33581096656	45070.27485657644	45981.059408239555	53655.990064803525	69937.85849025914	50701.84883937779	40163.96288838661	41210.642154265195	33669.59729694757	58778.687410094935	33055.889900398695	68727.69692335835	68398.87210525801
PWY-7198	479.70589679694854	703.0682739576781	417.0832662654139	1518.6789310844772	299.6681038445454	226.76996627289316	59.21878633834741	80.29906265783468	146.52807598356262	176.77462037765173	160.53368816803024	80.40906965388919	303.4914577294675	327.36405050925583	191.7938081505152	364.96043809861936	405.6158993527478	479.94150061350064	94.28594084896908	158.36605723291396	255.89368636878072
PWY-7199	35288.333252165154	30852.951720546484	29826.266089695397	30575.445324226668	33016.11405069514	34282.245356536696	6672.213579321931	14468.574645474013	21367.620292311312	25523.91566588394	26677.64964191872	35460.13157841552	45748.15404653697	32761.193075279127	25754.043542885716	26214.02842570495	20870.883766576433	37799.625290757656	20451.958595055523	42587.80057141483	42561.38046409503
PWY-7200	43988.70011169046	40932.52365400035	37633.52821475732	38449.25231028204	42774.36566307199	42819.34443944388	7974.954116254766	19310.085528910266	27565.479276745446	33119.39845427178	34383.26703980043	43167.21537669843	55646.95188309847	40118.68151489132	31644.605366535612	32309.182530947008	26064.52149529061	46396.22413296158	25597.05366901234	53263.167347465846	53104.75867822031
PWY-7208	71798.99510266243	72875.0098792947	62528.21432975476	63504.96336982569	73362.47593750742	70083.1418640226	12527.308683857776	34547.802561948876	46979.83287282707	56820.1090762257	57808.35270250692	68497.77573621013	91023.37322215283	65596.5849966862	52153.0087648273	53585.1564945101	43509.92540521906	76563.81001789073	42944.69087554473	89363.4037406406	88879.05366138843
PWY-7209	0.0	34.96327673089719	0.0	0.0	0.0	24.983175186519958	0.0	0.0	0.0	0.0	0.0	0.0	44.95868099968141	0.0	37.448582542066944	24.97889604511549	39.93285366443486	32.475298161856976	0.0	0.0	47.4542619316826
PWY-7210	684.0931806058794	1002.5358212778724	594.879757790969	2157.6353221686018	427.73792987180803	323.66326900858354	84.479754951047	114.66332632853089	209.17441308792763	252.34646859869045	229.1878177017365	114.82731660439335	433.08274208341544	466.91812374312184	273.669485888811	520.2900827521748	577.8880290075471	684.3027105919126	134.60896392921322	226.12131029909327	365.2615235266555
PWY-7211	52931.072080536185	51093.422509673335	45120.659756728775	46125.06291438934	51661.75989549452	51987.85117025638	9037.240821506552	24539.444096545572	34731.79494750978	41215.27195815265	42412.5479787009	53964.707886193326	68110.51110182358	49131.39781542882	39083.18916980602	39553.37685805312	31938.576385265456	56208.086196385826	31637.05535864103	66113.29984802067	65443.57222838997
