,0
be30ee9c7c09a302b239e2424fc4e02f,779.0
0f5c10e94ccfac5e319530577d125292,779.0
f2997f10993c4fdbdbaeb58a06fbfd21,779.0
7da7a80d48555d570fc78c1fe236c528,777.0
3e698da1f490b5dda3c269b1c4279e05,776.0
9f0dc957119bbe4d7059528e72ca4af4,775.0
f4359fb7610077cf58f054d3ac5d9e33,774.0
e1a223a8843f723c8e198cbd1d3a5548,771.0
b3d6d91998dbbd0c98447c49c70e4ec0,767.0
eda55b330d64b7d925cc6fdaed55208a,767.0
1e1ab130f991b6c082f75c030bbdc9e5,765.0
2b95fe9cb1138e60f96b31d2c1978503,764.0
ae74d672c491c56d70d2f6adf3281340,763.0
786cd1a076da07040f1a42a6081c8d42,761.0
d8ad4d00bebe7684f3dad22487988724,759.0
2ab2ee298d9b249689344398674c38a6,751.0
725585bb1c662b08e395b264927e3d48,749.0
047aae10fc21a2ea59bb5c139005da52,748.0
e4da7aba717b36075cdc42f175b88bf4,748.0
